"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution"
"Basic","What is 25% of 400?","110","200","90","100","D","25% of 400 = (25/100) × 400 = 0.25 × 400 = 100."
"Basic","Find 10% of 1500.","135","165","150","300","C","10% of 1500 = (10/100) × 1500 = 0.1 × 1500 = 150."
"Basic","If 20% of a number is 80, what is the number?","800","360","440","400","D","Let the number be \( x \). Then, 20% of \( x = 80 \).  
   \( 0.2x = 80 \), so \( x = 80 / 0.2 = 400 \)."
"Basic","What is 5% of 2000?","200","110","100","90","C","5% of 2000 = (5/100) × 2000 = 0.05 × 2000 = 100."
"Basic","If 15% of a number is 45, find the number.","600","330","270","300","D","Let the number be \( x \). Then, \( 0.15x = 45 \).  
   \( x = 45 / 0.15 = 300 \)."
"Basic","Calculate 40% of 250.","200","90","110","100","D","40% of 250 = (40/100) × 250 = 0.4 × 250 = 100."
"Basic","If a number increased by 20% gives 240, what is the original number?","220","400","200","180","C","Let the original number be \( x \). Then, \( x + 0.2x = 240 \).  
   \( 1.2x = 240 \), so \( x = 240 / 1.2 = 200 \)."
"Basic","What is 30% of 600?","360","162","180","198","C","30% of 600 = (30/100) × 600 = 0.3 × 600 = 180."
"Basic","If 50% of a number is 75, what is the number?","150","165","300","135","A","Let the number be \( x \). Then, \( 0.5x = 75 \).  
   \( x = 75 / 0.5 = 150 \)."
"Basic","Find 12.5% of 800.","110","90","100","200","C","12.5% of 800 = (12.5/100) × 800 = 0.125 × 800 = 100."
"Basic","A book is bought for $100 and sold for $120. Find the profit percentage.","22","40","18","20%","D","Profit = Selling Price - Cost Price = 120 - 100 = 20.  
    Profit % = (Profit / Cost Price) × 100 = (20 / 100) × 100 = 20%."
"Basic","An item is sold for $150 at a loss of $30. What is the cost price?","162","198","360","180","D","Cost Price = Selling Price + Loss = 150 + 30 = 180."
"Basic","If the cost price of an item is $200 and profit is 25%, find the selling price.","225","500","250","275","C","Profit = 25% of 200 = 0.25 × 200 = 50.  
    Selling Price = Cost Price + Profit = 200 + 50 = 250."
