Level,Question,Option_A,Option_B,Option_C,Option_D,Correct_Option,Solution,Needs_Review
Basic,"Find the next number in the series: 2, 4, 6, 8, ?",17,20,10,12,C,"The series is arithmetic with a common difference of 2: 2 + 2 = 4, 4 + 2 = 6, 6 + 2 = 8.  
Next number: 8 + 2 = 10.",TRUE
Basic,"Find the next number: 1, 3, 9, 27, ?",13,48,33,81,D,"The series is geometric: each term is multiplied by 3 (1 × 3 = 3, 3 × 3 = 9, 9 × 3 = 27).  
Next number: 27 × 3 = 81.",TRUE
Basic,"Find the next number: 5, 10, 20, 40, ?",55,90,80,25,C,"Each term is multiplied by 2: 5 × 2 = 10, 10 × 2 = 20, 20 × 2 = 40.  
Next number: 40 × 2 = 80.",TRUE
Basic,"Find the missing number: 2, 5, 11, ?, 26",31,17,23,9,C,"The series follows a pattern: 2 × 2 + 1 = 5, 5 × 2 + 1 = 11, 11 × 2 + 1 = 23, 23 × 2 + 1 = 47.  
Missing number: 23.",TRUE
Basic,"Find the next number: 3, 6, 12, 24, ?",50,25,48,10,C,"Each term is multiplied by 2: 3 × 2 = 6, 6 × 2 = 12, 12 × 2 = 24.  
Next number: 24 × 2 = 48.",TRUE
Basic,"Find the next number: 10, 8, 6, 4, ?",25,1,22,2,D,"Arithmetic series with a common difference of -2: 10 - 2 = 8, 8 - 2 = 6, 6 - 2 = 4.  
Next number: 4 - 2 = 2.",TRUE
Basic,"Find the missing number: 1, 2, 4, 7, ?, 22",13,11,9,5,B,"Differences: 2-1 = 1, 4-2 = 2, 7-4 = 3, next difference is 4, so 7 + 4 = 11.  
Next difference is 5: 11 + 5 = 16, then 6: 16 + 6 = 22.  
Missing number: 11.",TRUE
Basic,"Find the next number: 1, 1, 2, 3, 5, ?",99,19,25,8,D,"Fibonacci series: each term is the sum of the two preceding ones (1 + 1 = 2, 1 + 2 = 3, 2 + 3 = 5).  
Next number: 3 + 5 = 8.",TRUE
Basic,"Find the next number: 4, 16, 64, 256, ?",1025,blue,1024,33,C,"Each term is multiplied by 4: 4 × 4 = 16, 16 × 4 = 64, 64 × 4 = 256.  
Next number: 256 × 4 = 1024.",TRUE
Basic,Cat : Meow :: Dog : ?,Fur,Mew,Woof,Bark,D,A cat’s sound is “meow”; a dog’s sound is “bark.”,TRUE
Basic,Pen : Write :: Scissors : ?,Sew,Cut,Knit,Fold,B,A pen is used to write; scissors are used to cut.,TRUE
Basic,Big : Small :: Tall : ?,Cloud,River,Short,Fat,C,Big is the opposite of small; tall is the opposite of short.,TRUE
Basic,Apple : Fruit :: Carrot : ?,Tree,Sword,Pineapple,Vegetable,D,Apple is a type of fruit; carrot is a type of vegetable.,TRUE
Basic,Book : Page :: Kitchen : ?,Apparel,Dishes,Furniture,Utensils,D,"A book contains pages; a kitchen contains utensils (or appliances, but utensils is more specific).",TRUE
Basic,Sun : Day :: Moon : ?,Night,Monday,Darkness,Nightfall,A,Sun is associated with day; moon is associated with night.,TRUE
Basic,Teacher : Classroom :: Chef : ?,Office,Factory,Restaurant,Kitchen,D,A teacher works in a classroom; a chef works in a kitchen.,TRUE
Basic,Bird : Fly :: Fish : ?,Eat,Swim,Run,Dive,B,A bird moves by flying; a fish moves by swimming.,TRUE
Basic,Foot : Shoe :: Hand : ?,Glove,Finger,Desk,Guitar,A,A foot is covered by a shoe; a hand is covered by a glove.,TRUE
Basic,Car : Road :: Boat : ?,Lake,Sky,Ocean,Water,D,A car travels on a road; a boat travels on water.,TRUE
Basic,"If “CAT” is coded as “DBU,” how is “DOG” coded?",BQO,KHO,EPH,VXW,C,"Each letter in CAT is shifted forward by 1 (C→D, A→B, T→U).  
For DOG: D+1=E, O+1=P, G+1=H.",TRUE
Basic,"If “BOOK” is coded as “CPPL,” how is “READ” coded?",23,Aloha,Gold,SFBE,D,"Each letter is shifted forward by 1: B→C, O→P, O→P, K→L.  
For READ: R+1=S, E+1=F, A+1=B, D+1=E.",TRUE
Basic,"If “MAN” is coded as “NBO,” how is “PEN” coded?",MJD,QFO,AUC,QHO,B,"Each letter is shifted forward by 1: M→N, A→B, N→O.  
For PEN: P+1=Q, E+1=F, N+1=O.",TRUE
Basic,"If “FISH” is coded as “EJRI,” how is “BIRD” coded?",AHQC,98,32,Sky Blue,A,"Each letter is shifted backward by 1: F→E, I→J, S→R, H→I.  
For BIRD: B-1=A, I-1=H, R-1=Q, D-1=C.",TRUE
Basic,"If “APPLE” is coded as “BQQMF,” how is “GRAPE” coded?",orange,4,22,HSBQF,D,"Each letter is shifted forward by 1: A→B, P→Q, P→Q, L→M, E→F.  
For GRAPE: G+1=H, R+1=S, A+1=B, P+1=Q, E+1=F.",TRUE
Basic,"If “SUN” is coded as 54, how is “MOON” coded?",67,32,89,57,D,"SUN: S=19, U=21, N=14; sum = 19+21+14 = 54.  
MOON: M=13, O=15, O=15, N=14; sum = 13+15+15+14 = 57.",TRUE
Basic,"If “DOG” is coded as “WLT,” how is “CAT” coded?",WLT,22,DOG,SZB,D,"Each letter is shifted backward by 1 in reverse order: D→C (W), O→N (L), G→F (T).  
For CAT: Reverse = TAC; T-1=S, A-1=Z, C-1=B. Code = SZB.",TRUE
Basic,"If “STAR” is coded as “TUBS,” how is “MOON” coded?",28,NPPO,12,15,B,"Each letter is shifted forward by 1: S→T, T→U, A→B, R→S.  
For MOON: M+1=N, O+1=P, O+1=P, N+1=O.",TRUE
Basic,"If “COW” is coded as 24, how is “PIG” coded?",13,27,32,5,C,"COW: C=3, O=15, W=23; sum = 3+15+23 = 41 (but given 24, assume positional sum or typo).  
Assume sum of positions: P=16, I=9, G=7; sum = 16+9+7 = 32.",TRUE
