"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review"
"Basic","Choose the synonym for ""Abundant"":","Copious","Ample","Profuse","Plentiful","D","Abundant means existing in large quantities. Plentiful is the closest synonym.","TRUE"
"Basic","Find the synonym for ""Candid"":","Transparent is not the correct answer and so Deceptive is the distractor for this question.","Deceptive","Honest","Innocent","C","Candid means truthful and straightforward. Honest is the closest synonym.","TRUE"
"Basic","Synonym for ""Eloquent"":","Persuasive","Fluent","Articulate","Vocal","C","Eloquent means fluent or persuasive in speech. Articulate is the closest synonym.","TRUE"
"Basic","Choose the synonym for ""Fragile"":","Weakness","Sturdy","Vulnerable","Delicate","D","Fragile means easily broken. Delicate is the closest synonym.","TRUE"
"Basic","Synonym for ""Zealous"":","Miserly","Sagacious","Inscrutable","Enthusiastic","D","Zealous means passionate or fervent. Enthusiastic is the closest synonym.","TRUE"
"Basic","Find the synonym for ""Obscure"":","Enigmatic","Transparent","Recondite","Hidden","D","Obscure means unclear or concealed. Hidden is the closest synonym.","TRUE"
"Basic","Synonym for ""Meticulous"":","Deliberate","Accurate","Fastidious","Precise","D","Meticulous means showing great attention to detail. Precise is the closest synonym.","TRUE"
"Basic","Choose the synonym for ""Vivid"":","Flickering","Resplendent","Bright","Dazzlingly beautiful","C","Vivid means clear and striking. Bright is the closest synonym.","TRUE"
"Basic","Synonym for ""Prudent"":","Cautious","Overconfident","Discerning","Impulsive","A","Prudent means careful and sensible. Cautious is the closest synonym.","TRUE"
"Basic","Find the synonym for ""Amicable"":","Friendly","Aggressive","Hostile","Unruly","A","Amicable means characterized by friendliness. Friendly is the closest synonym.","TRUE"
"Basic","Choose the antonym for ""Big"":","Small","Tiny","Huge","Compact","A","Big means large in size. Small is the opposite.","TRUE"
"Basic","Find the antonym for ""Bright"":","Muted","Faded","Darkened","Dim","D","Bright means full of light. Dim means lacking light.","TRUE"
"Basic","Antonym for ""Fast"":","Hasty","Sluggish","Slow","Leisurely","C","Fast means moving quickly. Slow is the opposite.","TRUE"
"Basic","Choose the antonym for ""Happy"":","Joyful","Morose","Sad","Gloomy","C","Happy means feeling pleasure. Sad is the opposite.","TRUE"
"Basic","Antonym for ""Strong"":","Delicate","Fragile","Weak","Lethargic","C","Strong means having power. Weak is the opposite.","TRUE"
"Basic","Find the antonym for ""Open"":","Restricted","Enclosed","Closed","Sealed","C","Open means not shut. Closed is the opposite.","TRUE"
"Basic","Antonym for ""Old"":","Vintage","New","Mature","Secondhand","B","Old means having existed for a long time. New is the opposite.","TRUE"
"Basic","Choose the antonym for ""Rich"":","Affluent","Impractical","Wealthy","Poor","D","Rich means having wealth. Poor is the opposite.","TRUE"
"Basic","Antonym for ""Tall"":","Lowlying","Short","Stumpy","Petite","B","Tall means having great height. Short is the opposite.","TRUE"
"Basic","Find the antonym for ""Easy"":","Simpleton","Effortless","Difficult","Laborious","C","Easy means not hard. Difficult is the opposite.","TRUE"
"Basic","She was ______ to attend the meeting due to her busy schedule.","Capable of","Allowed to","Unable","Forced to","C","The context suggests she couldn’t attend due to busyness. Unable fits best.","TRUE"
"Basic","His ______ attitude made everyone feel welcome.","Friendly","His aggressive demeanor.","His aloof personality.","His cantankerous disposition.","A","Feeling welcome implies a positive attitude. Friendly is appropriate.","TRUE"
"Basic","The team worked ______ to complete the project on time.","Diligently","Effortlessly","Meticulously","Reluctantly","A","Completing on time suggests hard work. Diligently fits best.","TRUE"
"Basic","The movie was so ______ that I fell asleep.","Boring","Utterly captivating","Fascinating","Thrillingly exciting","A","Falling asleep implies lack of interest. Boring is appropriate.","TRUE"
"Basic","He spoke with such ______ that everyone listened attentively.","Vulgarity","Precision","Clarity","Loudness","C","Attentive listening suggests clear speech. Clarity fits best.","TRUE"
"Basic","The instructions were ______ and easy to follow.","Clear","Fuzzy and concise.","Complex and understandable.","Complicated and difficult to decipher.","A","Easy to follow implies simplicity. Clear is appropriate.","TRUE"
"Basic","She felt ______ after receiving the award.","Disheartened","Overwhelmed","Elated","Dejectedly","C","Receiving an award suggests happiness. Elated fits best.","TRUE"
"Basic","The room was ______ after the children left.","Tidy","Chaotic","Messy","Disheveled","C","Children leaving often implies disorder. Messy is appropriate.","TRUE"
"Basic","His ______ behavior annoyed everyone.","Inconsiderate","Rude","Brash","Boorish","B","Annoying suggests negative behavior. Rude fits best.","TRUE"
"Basic","The weather was ______ for a picnic.","Perfect","Ideal","Stormy","Windy","A","A picnic implies good weather. Perfect is appropriate.","TRUE"
"Basic","Identify the error: She *go* to school every day.","She go's to school every day.","She goes to the school every day.","She go to school every day.","go → goes","D","Subject ""She"" (third person singular) requires ""goes."" Error: *go*.","TRUE"
"Basic","Spot the error: He *don’t* like to read books.","He isn't accustomed to reading books.","don’t → doesn’t","He don't have any preference for reading books.","He don't like anything to do with books.","B","Third person singular ""He"" requires ""doesn’t."" Error: *don’t*.","TRUE"
"Basic","Identify the error: I saw *a elephant* in the zoo.","a → an","I saw *the elephant* in the zoo.","I saw *an animal* in the zoo.","I saw *a spaceship* in the zoo.","A","""Elephant"" starts with a vowel sound, so use ""an."" Error: *a*.","TRUE"
"Basic","Find the error: She is *more taller* than her brother.","She is less tall than her brother.","She is taller than her brother.","more → remove more","She is as tall as her brother.","C","Comparative ""taller"" doesn’t need ""more."" Error: *more*.","TRUE"
"Basic","Find the error: He *run* very fast yesterday.","He *swam* very fast yesterday.","run → ran","He *went* very fast yesterday.","He *runs* very fast yesterday.","B","Past tense requires ""ran."" Error: *run*.","TRUE"
"Basic","Spot the error: This is *mines* book.","This is mine's book.","This is my book.","mines → mine","This is mines car.","C","Possessive pronoun is ""mine,"" not ""mines."" Error: *mines*.","TRUE"
"Basic","Identify the error: We *goes* to the park on Sundays.","We *walks* to the park on Sundays.","We *go* to the park on every Sunday.","goes → go","We *goes* to the park on every Sundays.","C","Plural subject ""We"" requires ""go."" Error: *goes*.","TRUE"
"Basic","Correct the sentence: She sing beautiful.","She singing beautifully.","She is sing beautifully.","She sings beautifully.","She sings lovely.","C","Third person singular ""She"" requires ""sings."" Add adverb form ""beautifully.""","TRUE"
"Basic","Correct: He don’t have no money.","He doesn't have some money.","He hasn't got money.","He doesn’t have any money.","He won't have money.","C","""He"" requires ""doesn’t."" Double negative ""don’t…no"" becomes ""any.""","TRUE"
"Basic","Correct: I seen a movie yesterday.","I saw a movie yester week.","I seen a film yesterday.","I saw a movie last week yesterday.","I saw a movie yesterday.","D","Past perfect of ""see"" is ""saw"" for simple past.","TRUE"
"Basic","Correct: She is more smarter than him.","She is smarter then he is.","She is smarter than he.","She is smarter then him.","She is more smarter than he's.","B","Comparative ""smarter"" doesn’t need ""more."" Use ""he"" for subject comparison.","TRUE"
"Basic","Correct: Me and him went to store.","He I and went the store.","Me and him are going to store.","He and me went to the store.","He and I went to the store.","D","Use subject pronouns ""I"" and ""he."" Add article ""the.""","TRUE"
"Basic","Correct: I has two cats.","I possess two cats.","I owns two cats.","I have two cats.","I holds two cats.","C","First person singular ""I"" requires ""have.""","TRUE"
"Basic","Passage: The sun is a star at the center of our solar system. It provides energy for Earth, enabling life to exist. Plants use sunlight for photosynthesis, producing oxygen. The sun’s gravity keeps planets in orbit. It is about 4.6 billion years old and expected to last another 5 billion years.

Question: How do plants use sunlight?","Through a process that involves converting water into carbon dioxide.","For photosynthesis to produce oxygen.","To make energy for themselves.","For creating new soil.","B","Plants use sunlight for photosynthesis, producing oxygen.","TRUE"
"Basic","Passage: The sun is a star at the center of our solar system. It provides energy for Earth, enabling life to exist. Plants use sunlight for photosynthesis, producing oxygen. The sun’s gravity keeps planets in orbit. It is about 4.6 billion years old and expected to last another 5 billion years.

Question: How old is the sun?","it has been shining since the Big Bang","4.6 billion years.","about 1 billion years younger than Earth","5 billion years old","B","The passage states it is about 4.6 billion years old.","TRUE"
"Basic","Passage: The sun is a star at the center of our solar system. It provides energy for Earth, enabling life to exist. Plants use sunlight for photosynthesis, producing oxygen. The sun’s gravity keeps planets in orbit. It is about 4.6 billion years old and expected to last another 5 billion years.

Question: How long is the sun expected to last?","5 billion years.","c) Since the dawn of time","b) Until Earth ceases to exist","a) About 10 trillion years","A","It will last another 5 billion years.","TRUE"
"Basic","Passage: Books are a source of knowledge and entertainment. They allow readers to explore new worlds and ideas. Reading improves vocabulary and critical thinking. Libraries provide access to books for free, encouraging learning. Digital books are also popular now.

Question: What are books a source of?","Literary experiences and intellectual pursuits.","Financial gain and amusement.","Novelty and educational resources.","Knowledge and entertainment.","D","Books are a source of knowledge and entertainment.","TRUE"
"Basic","Passage: Books are a source of knowledge and entertainment. They allow readers to explore new worlds and ideas. Reading improves vocabulary and critical thinking. Libraries provide access to books for free, encouraging learning. Digital books are also popular now.

Question: What do books allow readers to do?","Travel to new destinations and places,","Explore new worlds and ideas.","Buy new experiences and goods,","Find new solutions and answers,","B","Explore new worlds and ideas.","TRUE"
"Basic","Passage: Books are a source of knowledge and entertainment. They allow readers to explore new worlds and ideas. Reading improves vocabulary and critical thinking. Libraries provide access to books for free, encouraging learning. Digital books are also popular now.

Question: How does reading benefit readers?","Increases one's memory and physical strength.","Enhances artistic skills and athletic ability.","Makes readers more financially independent and socially outgoing.","Improves vocabulary and critical thinking.","D","Improves vocabulary and critical thinking.","TRUE"
"Basic","Passage: Books are a source of knowledge and entertainment. They allow readers to explore new worlds and ideas. Reading improves vocabulary and critical thinking. Libraries provide access to books for free, encouraging learning. Digital books are also popular now.

Question: What do libraries provide?","Paid subscriptions to e-readers.","A vast collection of novels and biographies.","Free access to books.","Limited access to fiction books only.","C","Free access to books.","TRUE"
"Basic","Passage: Books are a source of knowledge and entertainment. They allow readers to explore new worlds and ideas. Reading improves vocabulary and critical thinking. Libraries provide access to books for free, encouraging learning. Digital books are also popular now.

Question: What is mentioned about digital books?","Digital books are very expensive to purchase.","They are popular.","Digital books are only available in print format.","Digital books are widely used by schools.","B","They are popular now.","TRUE"
"Basic","Arrange: (A) to school (B) every day (C) she (D) walks","She attends the school daily.","She walks to school every day.","She goes back to school every morning.","C-D-A-B","D","Subject-verb-object: She walks to school every day.","TRUE"
"Basic","Arrange: (A) the cat (B) on the mat (C) sleeps (D) quietly","A-C-B-D","(C) eats","(B) under the bed","(A) the dog","A","Subject-verb-place-adverb: The cat sleeps on the mat quietly.","TRUE"
"Basic","Arrange: (A) a book (B) he (C) reads (D) daily","He reads a book daily.","He reads, a book daily","B-C-A-D","He reads, a daily book","C","Subject-verb-object-adverb: He reads a book daily.","TRUE"
"Basic","Arrange: (A) every morning (B) she (C) jogs (D) in the park","She every day in the park jogs.","She runs in the park every morning.","She is jogs in the park.","B-C-D-A","D","Subject-verb-place-time: She jogs in the park every morning.","TRUE"
"Basic","Arrange: (A) the dog (B) barks (C) at strangers (D) loudly","(A) the dog (B) barks (C) at strangers (E) quietly","(A) the stranger (B) barks (C) at dogs (D) loudly","A-B-C-D","(A) the dog (B) does not barks (C) at strangers (D) loudly","C","Subject-verb-object-adverb: The dog barks at strangers loudly.","TRUE"
"Basic","Arrange: (A) to the store (B) I (C) went (D) yesterday","I went yesterday to the store.","Yesterday to the store, I went.","I had gone the store yesterday to.","B-C-A-D","D","Subject-verb-place-time: I went to the store yesterday.","TRUE"
"Basic","Arrange: (A) is (B) the flower (C) beautiful (D) very","(B) the flower (A) is (D) lovely","B-A-D-C","(A) the flower (B) is (D) extremely","(B) is (A) the flower (D) quite","B","Subject-verb-complement-adverb: The flower is very beautiful.","TRUE"
"Basic","Arrange: (A) at night (B) he (C) studies (D) quietly","He quietly studies at night.","Studies he quietly at night.","He, studies quietly at night.","B-C-D-A","D","Subject-verb-adverb-place: He studies quietly at night.","TRUE"
"Basic","Passage: The boy __71__ to the park every evening. He __72__ his dog with him. They __73__ for an hour. The dog loves to __74__ the ball. They return home __75__ happy.

Question: Choose the word for __71__:","Walks slowly","Goes","Runs quickly outside","Travels frequently","B","""To the park"" suggests movement. Goes is most appropriate.","TRUE"
"Basic","Passage: The boy __71__ to the park every evening. He __72__ his dog with him. They __73__ for an hour. The dog loves to __74__ the ball. They return home __75__ happy.

Question: Choose the word for __72__:","Owns","Takes","Brings","Carries","B","Bringing a dog implies Takes.","TRUE"
"Basic","Passage: The boy __71__ to the park every evening. He __72__ his dog with him. They __73__ for an hour. The dog loves to __74__ the ball. They return home __75__ happy.

Question: Choose the word for __73__:","Run together","Play","Fight with","Walk about","B","An hour in the park suggests Play.","TRUE"
"Basic","Passage: The boy __71__ to the park every evening. He __72__ his dog with him. They __73__ for an hour. The dog loves to __74__ the ball. They return home __75__ happy.

Question: Choose the word for __74__:","Begins to play with","Loves playing catch with","Chase","Tosses the ball around","C","Dogs typically chase balls.","TRUE"
"Basic","Passage: The boy __71__ to the park every evening. He __72__ his dog with him. They __73__ for an hour. The dog loves to __74__ the ball. They return home __75__ happy.

Question: Choose the word for __75__:","Usually","After a while","When the sun sets","Always","D","Returning happy suggests Always.","TRUE"
"Basic","Passage: Reading is a __76__ habit. It helps you __77__ new things. Books are like __78__ who guide you. You can read __79__ you want. It makes life __80__.

Question: Choose the word for __76__:","Good","Nice habit","Good is a common habit","Habits are nice","A","Reading is positive. Good fits best.","TRUE"
"Basic","Passage: Reading is a __76__ habit. It helps you __77__ new things. Books are like __78__ who guide you. You can read __79__ you want. It makes life __80__.

Question: Choose the word for __77__:","Learn","Discover","Acquire","Gain","A","Reading leads to learning.","TRUE"
"Basic","Passage: Reading is a __76__ habit. It helps you __77__ new things. Books are like __78__ who guide you. You can read __79__ you want. It makes life __80__.

Question: Choose the word for __78__:","Friends","Guides","Teachers","Companions of old","A","Guides are positive, like Friends.","TRUE"
"Basic","Passage: Reading is a __76__ habit. It helps you __77__ new things. Books are like __78__ who guide you. You can read __79__ you want. It makes life __80__.

Question: Choose the word for __79__:","Wherever","Where you live","At whatever point you want","Whenever you feel like it","A","Freedom to read suggests Wherever.","TRUE"
"Basic","Passage: Reading is a __76__ habit. It helps you __77__ new things. Books are like __78__ who guide you. You can read __79__ you want. It makes life __80__.

Question: Choose the word for __80__:","Rich","Better lived","More complicated","Easier understood","A","Reading enhances life, so Rich.","TRUE"
"Basic","Meaning of “Break the ice”:","Clear the roadblock","Pour hot water on the issue","Freeze the situation","Start a conversation","D","Break the ice means to initiate conversation.","TRUE"
"Basic","Meaning of “Piece of cake”:","A piece of pie","A walk in the park","Easy task","A drop in the bucket","C","Piece of cake means something easy.","TRUE"
"Basic","Meaning of “Spill the beans”:","Let the cat out of a box","Give away the punchline","Blow a whistle in secret","Reveal a secret","D","Spill the beans means to disclose a secret.","TRUE"
"Basic","Meaning of “Bite the bullet”:","Face a challenge","Sew a loose thread","Take a leap of faith","Swallow a bitter pill","A","Bite the bullet means to endure a difficult situation.","TRUE"
