"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review","Distractor_Method"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: What is the total sales of Product A across all months?","350 units","1,210 units","1100 units","2,200 units","C","Total sales = 200 + 250 + 300 + 350 = 1100 units.","TRUE","mechanical"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: Which product had the highest sales in February?","Product D","The product with the highest sales in April had a sales increase of 310 units from January.","Product E had the same sales as Product D in February.","The product with the lowest sales in January was C.","A","Feb sales: A (250), B (180), C (120), D (280), E (270). Highest is D (280).","TRUE","llm"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: What is the average monthly sales of Product B?","200 units","187.5 units","180 units","150 units","B","Total sales = 150 + 180 + 200 + 220 = 750. Average = 750 ÷ 4 = 187.5 units.","TRUE","mechanical"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: By how much did Product C’s sales increase from Jan to Apr?","60 units","100 units","160 units","120 units","A","Increase = Apr (160) - Jan (100) = 60 units.","TRUE","mechanical"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: What is the total sales of all products in March?","2,380 units","1,071 units","1190 units","1,309 units","C","Mar sales: A (300) + B (200) + C (140) + D (260) + E (290) = 1190 units.","TRUE","mechanical"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: Which product had the lowest sales in April?","Product C","The difference in sales between Product E and Product C in April was 150 units.","Product B had higher sales than Product C in April.","Product A had lower sales in April than Product D.","A","Apr sales: A (350), B (220), C (160), D (240), E (310). Lowest is C (160).","TRUE","llm"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: What is the percentage increase in Product A’s sales from Jan to Feb?","28%","22%","25%","50%","C","Increase = 250 - 200 = 50. % Increase = (50 ÷ 200) × 100 = 25%.","TRUE","mechanical"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: What is the ratio of Product B’s sales in Feb to Mar?","9 : 10","Product B's sales in Feb were less than Product C's sales in Mar.","Product A's sales in Apr were more than Product B's sales in Jan by 50 units.","The ratio of Product E's sales in Jan to Product D's sales in Apr is 17.5 : 10.","A","Feb (180) : Mar (200) = 180 : 200 = 9 : 10.","TRUE","llm"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: What is the total sales of Products D and E in Jan?","550 units","300 units","1,100 units","250 units","A","Jan sales: D (300) + E (250) = 550 units.","TRUE","mechanical"
"Basic","**Table 1: Monthly Sales (in units) of Five Products in a Store (Jan–Apr 2023)**
| Product | Jan | Feb | Mar | Apr |
|---------|-----|-----|-----|-----|
| A       | 200 | 250 | 300 | 350 |
| B       | 150 | 180 | 200 | 220 |
| C       | 100 | 120 | 140 | 160 |
| D       | 300 | 280 | 260 | 240 |
| E       | 250 | 270 | 290 | 310 |

Question: Which month had the highest total sales?","The highest total sales occurred in January for products A, B, and C.","April had the lowest total sales of all products combined.","The month with the highest average sales was March.","April","D","Total sales: Jan (1000), Feb (1100), Mar (1190), Apr (1280). Highest is Apr.","TRUE","llm"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: What is the total number of students in Class D across both years?","260 students","70 students","60 students","130 students","D","Total = 60 + 70 = 130 students.","TRUE","mechanical"
"Basic","**Table 2: Number of Students in Five Classes (A–E) in Two Years**
| Class | 2022 | 2023 |
|-------|------|------|
| A     | 40   | 50   |
| B     | 30   | 35   |
| C     | 50   | 45   |
| D     | 60   | 70   |
| E     | 20   | 25   |

Question: Which class had the highest number of students in 2023?","Class E had the highest number of students in 2023.","Class C had fewer students in 2023 than in 2022, so it is not the class with the highest number of students.","Class D","Class A had 10 more students in 2023 than Class B, and Class B had 5 more students than Class C, so Class A is the class with the highest number of students.","C","2023: A (50), B (35), C (45), D (70), E (25). Highest is D (70).","TRUE","llm"
