"Level","Topic","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review"
"Basic","Programming Fundamentals","What is the output of this C code?
int x = 5;
printf(""%d"", x++);","6","1","7","5","D","x++ is post-increment, so printf uses the current value of x (5), then increments x to 6.","TRUE"
"Basic","Programming Fundamentals","In Python, what is the output of: print(3 * ""hello"")?","hellohellohello","hellohellohellos","hellohellohellosomethings","22hellos","A","String repetition in Python multiplies the string: 3 * ""hello"" produces ""hellohellohello"".","TRUE"
"Basic","Programming Fundamentals","What is the value of x after this Java code?
int x = 10;
x += 5;","20","15","25","10","B","x += 5 is equivalent to x = x + 5. So, x = 10 + 5 = 15.","TRUE"
"Basic","Programming Fundamentals","In C++, what is the output?
int a = 3, b = 4;
cout << a + b;","5","22","7","1","C","a + b = 3 + 4 = 7. cout prints 7.","TRUE"
"Basic","Programming Fundamentals","What does this Python code do?
x = [1, 2, 3];
x.append(4)","Adds 4 to the list","Modifies the first element of the list","O(n)","Changes the list to [2, 3, 4]","A","append(4) adds 4 to the end of the list x. New list: [1, 2, 3, 4].","TRUE"
"Basic","Programming Fundamentals","In C, what is the output?
int x = 8;
printf(""%d"", x >> 1);","4","2","32","8","A","x >> 1 performs a right shift. 8 (binary 1000) shifts to 0100 (4).","TRUE"
"Basic","Programming Fundamentals","In Java, what is the output?
boolean x = true;
System.out.println(!x);","false","0","true","1","A","!x negates true to false.","TRUE"
"Basic","Programming Fundamentals","What is the output of this Python code?
x = 10;
y = 3;
print(x // y)","3","0","33","10","A","// is floor division: 10 // 3 = 3 (quotient without remainder).","TRUE"
"Basic","Programming Fundamentals","In C++, what is the output?
int x = 5;
if(x > 3) cout << ""Yes"";
else cout << ""No"";","Yes","No","Error","0","A","x = 5 > 3, so if condition is true. Prints Yes.","TRUE"
"Basic","Programming Fundamentals","In Python, what is the output of: for i in range(3): print(i)?","3","1","2","0","D","range(3) generates 0, 1, 2. Loop prints each value.","TRUE"
"Basic","Programming Fundamentals","In C, what is the output?
int x = 3;
printf(""%d"", x & 1);","1","5","3","0","A","x & 1 performs bitwise AND. 3 (binary 11) AND 1 (binary 01) = 01 (1).","TRUE"
"Basic","Programming Fundamentals","In Java, what is the output?
int x = 7;
System.out.println(x % 2);","0","5","1","7","C","% is modulus: 7 % 2 = 1 (remainder).","TRUE"
"Basic","Programming Fundamentals","In Python, what is the output?
x = [1, 2];
x.pop(0);
print(x)","[1]","[]","[2]","[2, 2]","C","pop(0) removes the element at index 0 (1). New list: [2].","TRUE"
"Basic","Programming Fundamentals","In C++, what is the output?
int x = 4;
cout << ++x;","5","22","3","4","A","++x is pre-increment, so x becomes 5, and 5 is printed.","TRUE"
"Basic","Programming Fundamentals","In C, what is the output?
int x = 5;
printf(""%d"", x | 2);","6","3","7","10","C","x | 2 performs bitwise OR. 5 (binary 101) OR 2 (binary 010) = 111 (7).","TRUE"
"Basic","Programming Fundamentals","In Python, what is the output?
x = {1, 2, 2};
print(len(x))","3","5","2","1","C","Sets remove duplicates: {1, 2, 2} becomes {1, 2}. len returns 2.","TRUE"
"Basic","Programming Fundamentals","In Java, what is the output?
String s = ""Hello"";
System.out.println(s.length());","0","11","5","6","C","length() returns the number of characters in ""Hello"", which is 5.","TRUE"
"Basic","Programming Fundamentals","In C++, what is the output?
int x = 10;
while(x > 8) { cout << x << "" "";
    x--;
}
","9","10 10","10 9","11 9","C","Loop runs while x > 8: prints 10, then 9.","TRUE"
"Basic","Programming Fundamentals","In Python, what is the output?
x = 5;
print(x ** 2)","22","3","50","25","D","** is exponentiation: 5 ** 2 = 25.","TRUE"
"Basic","Programming Fundamentals","In C, what is the output?
int x = 6;
printf(""%d"", x ^ 3);","2","3","7","5","D","x ^ 3 performs bitwise XOR. 6 (binary 110) XOR 3 (binary 011) = 101 (5).","TRUE"
"Basic","Data Structures","What is the time complexity of accessing an element in an array?","O(n²)","O(n)","O(log n)","O(1)","D","Arrays allow direct index-based access, which is constant time.","TRUE"
"Basic","Data Structures","In a singly linked list, what is the time complexity to insert a node at the beginning?","O(√n)","O(n)","O(1)","O(n log n)","C","Inserting at the head updates the head pointer, which is constant time.","TRUE"
"Basic","Data Structures","What is the output of this Python code for a stack?
s = [];
s.append(1);
s.append(2);
s.pop();
print(s)","[1]","[]","[2]","[1, 2]","A","Stack (LIFO): append adds 1, 2. pop removes 2. Stack: [1].","TRUE"
"Basic","Data Structures","In a queue, what is the order of elements after: enqueue(1), enqueue(2), dequeue(), enqueue(3)?","3, 1","1, 3","2, 3","2, 1","C","Queue (FIFO): Enqueue 1, 2. Dequeue removes 1. Enqueue 3. Queue: 2, 3.","TRUE"
"Basic","Data Structures","What is the time complexity of searching an element in an unsorted array of size n?","Ω(n)","O(1)","O(n)","O(n log n)","C","Linear search checks each element, worst case n checks.","TRUE"
"Basic","Data Structures","In a binary tree, what is the maximum number of nodes at level k (root at level 0)?","2^k - 1","2^(k-1)","2^k","2^k + 1","C","At level k, maximum nodes = 2^k.","TRUE"
"Basic","Data Structures","What is the output of this Python code for a list?
x = [1, 2, 3];
x.insert(1, 4);
print(x)","[1, 4, 3, 2]","[4, 2, 1, 3]","[1, 4, 2, 3]","[1, 2, 4, 3]","C","insert(1, 4) adds 4 at index 1. New list: [1, 4, 2, 3].","TRUE"
"Basic","Data Structures","What is the time complexity of inserting an element at the end of a dynamic array (amortized)?","O(1)","O(n log n)","O(log n)","O(n)","A","Appending to a dynamic array is O(1) amortized, as resizing is rare.","TRUE"
"Basic","Data Structures","In a circular queue with size 5, after enqueue(1, 2, 3), dequeue(), enqueue(4), what is the front element?","2","3","1","4","A","Enqueue 1, 2, 3. Dequeue removes 1. Enqueue 4. Front: 2.","TRUE"
"Basic","Data Structures","What is the height of a binary tree with 7 nodes in a balanced configuration?","O(3)","log(8)","5","2","D","Balanced binary tree: height = ⌊log₂(7)⌋ = 2 (levels 0, 1, 2).","TRUE"
"Basic","Data Structures","In Python, what is the output?
d = {1: 'a', 2: 'b'};
print(d[1])","'ab'","None","a","1","C","Dictionary access by key: d[1] returns 'a'.","TRUE"
