"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review"
"Basic","Find the next number in the sequence: 2, 4, 6, 8, __","8","12","9","10","D","Each number increases by 2 (arithmetic sequence): 2 + 2 = 4, 4 + 2 = 6, 6 + 2 = 8. Next: 8 + 2 = 10.","TRUE"
"Basic","Find the next number: 1, 3, 9, 27, __","81","13","43","55","A","Each number is multiplied by 3 (geometric sequence): 1 × 3 = 3, 3 × 3 = 9, 9 × 3 = 27. Next: 27 × 3 = 81.","TRUE"
"Basic","Find the next number: 5, 10, 15, 20, __","22","25","40","30","B","Each number increases by 5: 5 + 5 = 10, 10 + 5 = 15, 15 + 5 = 20. Next: 20 + 5 = 25.","TRUE"
"Basic","Find the next number: 1, 4, 16, 64, __","17","64","256","32","C","Each number is multiplied by 4: 1 × 4 = 4, 4 × 4 = 16, 16 × 4 = 64. Next: 64 × 4 = 256.","TRUE"
"Basic","Find the next number: 3, 6, 12, 24, __","48","15","8","36","A","Each number is multiplied by 2: 3 × 2 = 6, 6 × 2 = 12, 12 × 2 = 24. Next: 24 × 2 = 48.","TRUE"
"Basic","Find the next number: 10, 9, 8, 7, __","6","7","5","4","A","Each number decreases by 1: 10 - 1 = 9, 9 - 1 = 8, 8 - 1 = 7. Next: 7 - 1 = 6.","TRUE"
"Basic","Find the next number: 2, 5, 8, 11, __","18","13","14","15","C","Each number increases by 3: 2 + 3 = 5, 5 + 3 = 8, 8 + 3 = 11. Next: 11 + 3 = 14.","TRUE"
"Basic","Find the next number: 1, 2, 4, 8, __","16","22","17","11","A","Each number is multiplied by 2: 1 × 2 = 2, 2 × 2 = 4, 4 × 2 = 8. Next: 8 × 2 = 16.","TRUE"
"Basic","Find the next number: 100, 90, 80, 70, __","60","65","75","85","A","Each number decreases by 10: 100 - 10 = 90, 90 - 10 = 80, 80 - 10 = 70. Next: 70 - 10 = 60.","TRUE"
"Basic","Find the next number: 1, 5, 25, 125, __","1250","15625","625","6250","C","Each number is multiplied by 5: 1 × 5 = 5, 5 × 5 = 25, 25 × 5 = 125. Next: 125 × 5 = 625.","TRUE"
"Basic","Find the next number: 4, 8, 12, 16, __","20","28","18","22","A","Each number increases by 4: 4 + 4 = 8, 8 + 4 = 12, 12 + 4 = 16. Next: 16 + 4 = 20.","TRUE"
"Basic","Find the next number: 2, 6, 18, 54, __","54 × 2 = 108","54 × 4 = 216","54 × 3 = 162","162","D","Each number is multiplied by 3: 2 × 3 = 6, 6 × 3 = 18, 18 × 3 = 54. Next: 54 × 3 = 162.","TRUE"
"Basic","Find the next number: 7, 14, 21, 28, __","45","82","35","31","C","Each number increases by 7: 7 + 7 = 14, 14 + 7 = 21, 21 + 7 = 28. Next: 28 + 7 = 35.","TRUE"
"Basic","Find the next number: 3, 9, 27, 81, __","243","121","13","87","A","Each number is multiplied by 3: 3 × 3 = 9, 9 × 3 = 27, 27 × 3 = 81. Next: 81 × 3 = 243.","TRUE"
"Basic","Find the next number: 50, 45, 40, 35, __","30","25","38","32","A","Each number decreases by 5: 50 - 5 = 45, 45 - 5 = 40, 40 - 5 = 35. Next: 35 - 5 = 30.","TRUE"
"Basic","Find the next number: 1, 3, 6, 10, __","8","15","12","9","B","Differences: 3 - 1 = 2, 6 - 3 = 3, 10 - 6 = 4. Differences increase by 1. Next difference = 5.  
    Next: 10 + 5 = 15.","TRUE"
"Basic","Find the next number: 2, 4, 8, 16, __","12","20","4","32","D","Each number is multiplied by 2: 2 × 2 = 4, 4 × 2 = 8, 8 × 2 = 16. Next: 16 × 2 = 32.","TRUE"
"Basic","Find the next number: 6, 12, 18, 24, __","42","36","30","25","C","Each number increases by 6: 6 + 6 = 12, 12 + 6 = 18, 18 + 6 = 24. Next: 24 + 6 = 30.","TRUE"
"Basic","Find the next number: 1, 4, 9, 16, __","121","36","24","25","D","Numbers are squares: 1² = 1, 2² = 4, 3² = 9, 4² = 16. Next: 5² = 25.","TRUE"
"Basic","Find the next number: 8, 7, 6, 5, __","11","22","9","4","D","Each number decreases by 1: 8 - 1 = 7, 7 - 1 = 6, 6 - 1 = 5. Next: 5 - 1 = 4.","TRUE"
"Basic","A sequence of squares increases the number of small squares inside: 1, 4, 9, __. What is the next number?","16","0","25","5","A","Numbers are squares: 1 = 1², 4 = 2², 9 = 3². Next: 4² = 16 small squares.","TRUE"
"Basic","A triangle rotates 90° clockwise each step. After three rotations, what is the position?","270° clockwise","A square","90° clockwise","360° clockwise","A","90° × 3 = 270° clockwise. The triangle is rotated 270° from the original position.","TRUE"
"Basic","A sequence of circles adds one circle each step: 1, 2, 3, 4, __. What is the next number?","5 circles","25","13","17","A","Each step adds 1: 1 + 1 = 2, 2 + 1 = 3, 3 + 1 = 4. Next: 4 + 1 = 5.","TRUE"
