"Test_ID","Test_Title","Target_Role","Question_ID","Question_Title","Difficulty","Category","Problem_Description","Input_Format","Output_Format","Constraints","Sample_Test_Cases","Hidden_Test_Cases","Starter_Code_Python","Starter_Code_JS","Optimal_Time_Complexity","Optimal_Space_Complexity"
"T01","Junior Developer Screening - Round 1","Entry-Level Software Developer","Q1","Warehouse Pair Finder","Easy","Arrays, Hash Map","A warehouse inventory system logs item weights in an array. Given an array of item weights and a target combined weight, find the indices of the two items whose weights add up exactly to the target. You may assume each input has exactly one valid pair, and you cannot use the same item twice.","An integer array nums, and an integer target.","An array of two integers: the indices of the two numbers that add up to target, in ascending order.","2 <= nums.length <= 10^4
-10^9 <= nums[i] <= 10^9
-10^9 <= target <= 10^9
Exactly one valid answer exists.
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""nums = [2, 7, 11, 15], target = 9"", ""output"": ""[0, 1]"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""nums = [3, 2, 4], target = 6"", ""output"": ""[1, 2]"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""nums = [3, 3], target = 6"", ""output"": ""[0, 1]""}, {""input"": ""nums = [-1, -3, 4, 7], target = 1"", ""output"": ""[1, 2]""}, {""input"": ""nums = [0, 0, 3, 4], target = 0"", ""output"": ""[0, 1]""}]","from typing import List

def pair_finder(nums: List[int], target: int) -> List[int]:
    """"""Return indices [i, j] such that nums[i] + nums[j] == target.""""""
    pass","/**
 * @param {number[]} nums
 * @param {number} target
 * @return {number[]}
 */
function pairFinder(nums, target) {
  // your code here
}","O(n)","O(n)"
"T01","Junior Developer Screening - Round 1","Entry-Level Software Developer","Q2","Palindrome Product Code","Easy","Strings","A factory prints product codes that must be verified as palindromic identifiers, ignoring case, spaces, and punctuation. Given a string, determine whether it reads the same forwards and backwards after removing all non-alphanumeric characters and normalizing case.","A string s containing letters, digits, spaces, and punctuation.","A boolean: true if s is a valid palindrome under the given rules, false otherwise.","1 <= s.length <= 2 * 10^5
s consists of printable ASCII characters.
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""s = \""A man a plan a canal Panama\"""", ""output"": ""true"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""s = \""race a car\"""", ""output"": ""false"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""s = \""\"""", ""output"": ""true""}, {""input"": ""s = \""0P\"""", ""output"": ""false""}, {""input"": ""s = \"".,\"""", ""output"": ""true""}, {""input"": ""s = \""Was it a car or a cat I saw?\"""", ""output"": ""true""}]","def is_palindrome(s: str) -> bool:
    """"""Return True if s is a palindrome ignoring case and non-alphanumerics.""""""
    pass","/**
 * @param {string} s
 * @return {boolean}
 */
function isPalindrome(s) {
  // your code here
}","O(n)","O(n)"
"T02","Junior Developer Screening - Round 2","Entry-Level Software Developer","Q3","Rotate Delivery Queue","Easy","Arrays","A delivery dispatch queue processes stops in array order, but the depot occasionally needs to rotate the queue to the right by k positions so the driver starts from a different point in the route without changing stop order otherwise. Given an array of stop IDs and an integer k, rotate the array to the right by k steps in place logically and return the result.","An integer array nums, and a non-negative integer k.","The array after being rotated right by k positions.","1 <= nums.length <= 10^5
-2^31 <= nums[i] <= 2^31 - 1
0 <= k <= 10^5
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""nums = [1, 2, 3, 4, 5, 6, 7], k = 3"", ""output"": ""[5, 6, 7, 1, 2, 3, 4]"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""nums = [-1, -100, 3, 99], k = 2"", ""output"": ""[3, 99, -1, -100]"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""nums = [1], k = 0"", ""output"": ""[1]""}, {""input"": ""nums = [1, 2], k = 5"", ""output"": ""[2, 1]""}, {""input"": ""nums = [1, 2, 3, 4, 5], k = 0"", ""output"": ""[1, 2, 3, 4, 5]""}]","from typing import List

def rotate_queue(nums: List[int], k: int) -> List[int]:
    """"""Return nums rotated right by k positions.""""""
    pass","/**
 * @param {number[]} nums
 * @param {number} k
 * @return {number[]}
 */
function rotateQueue(nums, k) {
  // your code here
}","O(n)","O(n)"
"T02","Junior Developer Screening - Round 2","Entry-Level Software Developer","Q4","Longest Uniform Temperature Streak","Medium","Arrays, Sliding Window","A weather station logs hourly rounded temperature readings as integers. Find the length of the longest streak of consecutive hours where the temperature reading stayed exactly the same.","An integer array arr representing hourly temperature readings.","An integer: the length of the longest run of consecutive equal values.","1 <= arr.length <= 10^5
-100 <= arr[i] <= 150
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""arr = [1, 1, 2, 2, 2, 3]"", ""output"": ""3"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""arr = [5, 5, 5, 5]"", ""output"": ""4"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""arr = [1]"", ""output"": ""1""}, {""input"": ""arr = [1, 2, 3, 4]"", ""output"": ""1""}, {""input"": ""arr = [-5, -5, -5, 2, 2]"", ""output"": ""3""}]","from typing import List

def longest_streak(arr: List[int]) -> int:
    """"""Return the length of the longest run of consecutive equal values.""""""
    pass","/**
 * @param {number[]} arr
 * @return {number}
 */
function longestStreak(arr) {
  // your code here
}","O(n)","O(1)"
"T03","Junior Developer Screening - Round 3","Entry-Level Software Developer","Q5","Missing Invoice Number","Easy","Arrays, Math","An accounting system stores invoice sequence numbers from 0 to n, but exactly one invoice number is missing from the array due to a data entry error. Given an array containing n distinct numbers in the range [0, n], find the one number missing from the sequence.","An integer array nums of length n containing n distinct numbers from the range [0, n].","An integer: the missing number.","1 <= n <= 10^4
0 <= nums[i] <= n
All numbers in nums are unique.
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""nums = [3, 0, 1]"", ""output"": ""2"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""nums = [0, 1]"", ""output"": ""2"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""nums = [9, 6, 4, 2, 3, 5, 7, 0, 1]"", ""output"": ""8""}, {""input"": ""nums = [0]"", ""output"": ""1""}, {""input"": ""nums = [1]"", ""output"": ""0""}]","from typing import List

def missing_invoice(nums: List[int]) -> int:
    """"""Return the missing number in range [0, n].""""""
    pass","/**
 * @param {number[]} nums
 * @return {number}
 */
function missingInvoice(nums) {
  // your code here
}","O(n)","O(1)"
"T03","Junior Developer Screening - Round 3","Entry-Level Software Developer","Q6","Balanced Bracket Validator for Config Files","Easy","Strings, Stack","A config-file linter needs to check that all brackets in a snippet are correctly matched and nested. Given a string containing only the characters '(', ')', '{', '}', '[' and ']', determine if the brackets are valid: every opening bracket must be closed by the same type in the correct order.","A string s consisting only of bracket characters.","A boolean: true if the brackets are valid, false otherwise.","1 <= s.length <= 10^4
s consists only of the characters '()[]{}'.
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""s = \""({[]})\"""", ""output"": ""true"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""s = \""(]\"""", ""output"": ""false"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""s = \""()\"""", ""output"": ""true""}, {""input"": ""s = \""((\"""", ""output"": ""false""}, {""input"": ""s = \""]\"""", ""output"": ""false""}, {""input"": ""s = \""{[()]}\"""", ""output"": ""true""}]","def valid_brackets(s: str) -> bool:
    """"""Return True if brackets in s are balanced and correctly nested.""""""
    pass","/**
 * @param {string} s
 * @return {boolean}
 */
function validBrackets(s) {
  // your code here
}","O(n)","O(n)"
"T03","Junior Developer Screening - Round 3","Entry-Level Software Developer","Q7","First Unique Visitor ID","Medium","Arrays, Hash Map","A website analytics log records visitor IDs in the order they arrived. Find the index of the first visitor ID that appears exactly once in the log. If every ID repeats, return -1.","An integer array nums representing visitor IDs in arrival order.","An integer: the index of the first non-repeating value, or -1 if none exists.","1 <= nums.length <= 10^5
-10^9 <= nums[i] <= 10^9
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""nums = [2, 3, 2, 4, 3]"", ""output"": ""3"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""nums = [1, 1, 2, 2]"", ""output"": ""-1"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""nums = [5]"", ""output"": ""0""}, {""input"": ""nums = [7, 7, 8, 8, 9]"", ""output"": ""4""}, {""input"": ""nums = [1, 2, 3, 1, 2]"", ""output"": ""2""}]","from typing import List

def first_unique(nums: List[int]) -> int:
    """"""Return the index of the first value that appears exactly once, or -1.""""""
    pass","/**
 * @param {number[]} nums
 * @return {number}
 */
function firstUnique(nums) {
  // your code here
}","O(n)","O(n)"
"T04","Mid-Level Backend Engineer - Round 1","Mid-Level Backend Engineer","Q8","Two Pointer Traffic Merge","Medium","Two Pointers, Arrays","Two traffic sensors each report vehicle counts sorted by timestamp in ascending order as arrays. Merge the two sorted arrays into a single sorted array representing the combined, time-ordered vehicle count log.","Two integer arrays a and b, each sorted in non-decreasing order.","A single merged, sorted integer array containing all elements from a and b.","0 <= a.length, b.length <= 10^5
-10^9 <= a[i], b[i] <= 10^9
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""a = [1, 3, 5], b = [2, 4, 6]"", ""output"": ""[1, 2, 3, 4, 5, 6]"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""a = [1, 2, 3], b = []"", ""output"": ""[1, 2, 3]"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""a = [], b = []"", ""output"": ""[]""}, {""input"": ""a = [1, 1, 1], b = [1, 1]"", ""output"": ""[1, 1, 1, 1, 1]""}, {""input"": ""a = [-5, 0, 5], b = [-3, 3, 10]"", ""output"": ""[-5, -3, 0, 3, 5, 10]""}]","from typing import List

def merge_sorted(a: List[int], b: List[int]) -> List[int]:
    """"""Return a and b merged into one sorted array.""""""
    pass","/**
 * @param {number[]} a
 * @param {number[]} b
 * @return {number[]}
 */
function mergeSorted(a, b) {
  // your code here
}","O(n + m)","O(n + m)"
"T04","Mid-Level Backend Engineer - Round 1","Mid-Level Backend Engineer","Q9","Longest Substring Without Repeating Session Tokens","Medium","Sliding Window, Hash Map","A server log records a stream of single-character session tokens as a string. Find the length of the longest contiguous substring in which no session token character repeats.","A string s of session token characters.","An integer: the length of the longest substring without repeating characters.","0 <= s.length <= 5 * 10^4
s consists of English letters, digits, symbols, and spaces.
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""s = \""abcabcbb\"""", ""output"": ""3"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""s = \""bbbbb\"""", ""output"": ""1"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""s = \""\"""", ""output"": ""0""}, {""input"": ""s = \""pwwkew\"""", ""output"": ""3""}, {""input"": ""s = \""abba\"""", ""output"": ""2""}, {""input"": ""s = \""dvdf\"""", ""output"": ""3""}]","def longest_unique_substr(s: str) -> int:
    """"""Return the length of the longest substring with no repeated characters.""""""
    pass","/**
 * @param {string} s
 * @return {number}
 */
function longestUniqueSubstr(s) {
  // your code here
}","O(n)","O(min(n, alphabet size))"
"T05","Mid-Level Full Stack Engineer - Round 2","Mid-Level Full Stack Engineer","Q10","Detect Cycle in Task Dependency List","Medium","Linked List, Two Pointers","A task scheduler represents chained task dependencies as a singly linked list, where each task's 'next' pointer references the following dependent task. Due to a bug, the list may accidentally loop back to a previous task, creating a cycle. Given the list (represented as an array of values plus the index the last node's next pointer connects to, or -1 for no cycle), determine whether a cycle exists.","An integer array values representing node values in order, and an integer pos: the zero-indexed position in values that the tail node connects back to (-1 means no cycle).","A boolean: true if the linked list has a cycle, false otherwise.","0 <= values.length <= 10^4
-10^9 <= values[i] <= 10^9
-1 <= pos < values.length
Time Limit: 1.0s, Memory: 256MB","[{""input"": ""values = [3, 2, 0, -4], pos = 1"", ""output"": ""true"", ""explanation"": ""Computed by executing the reference solution on this input.""}, {""input"": ""values = [1, 2], pos = -1"", ""output"": ""false"", ""explanation"": ""Computed by executing the reference solution on this input.""}]","[{""input"": ""values = [1], pos = -1"", ""output"": ""false""}, {""input"": ""values = [1], pos = 0"", ""output"": ""true""}, {""input"": ""values = [1, 2, 3, 4, 5], pos = -1"", ""output"": ""false""}]","from typing import List

def has_cycle(values: List[int], pos: int) -> bool:
    """"""Return True if the linked list built from values (tail connecting to index pos) has a cycle.""""""
    pass","/**
 * @param {number[]} values
 * @param {number} pos
 * @return {boolean}
 */
function hasCycle(values, pos) {
  // your code here
}","O(n)","O(1)"
